"Homo.L.arginine","Mtrr","score","Curtobacterium_oceanosedimentum"
4.436,4.93,0.652212468,0
4.444,4.9,0.455524872,0
4.026,6.64,0.587710074,0
3.367,7.98,0.343870362,3
3.706,6.34,0.617525208,8
3.318,3.81,0.468545045,0
3.813,4.97,0.32572039,48
4.98,4.65,0.151202718,24
5.185,4.65,0.169667915,0
4.905,5.31,0.081781953,13
4.3,5.15,0.108191038,40
4.387,4.73,0.155241935,31
4.684,6,0.027210794,0
3.559,4.53,0.228074532,13
4.827,5.35,0.125,0
4.818,3.73,-0.025960462,6
4.708,4.04,-0.019155056,0
4.539,4.84,-0.076889241,0
