"Homo.L.arginine","Mtrr","score","Delftia_tsuruhatensis"
4.436,4.93,0.652212468,20
4.444,4.9,0.455524872,4
4.026,6.64,0.587710074,25
3.367,7.98,0.343870362,37
3.706,6.34,0.617525208,55
3.318,3.81,0.468545045,12
3.813,4.97,0.32572039,137
4.98,4.65,0.151202718,53
5.185,4.65,0.169667915,83
4.905,5.31,0.081781953,16
4.3,5.15,0.108191038,123
4.387,4.73,0.155241935,81
4.684,6,0.027210794,104
3.559,4.53,0.228074532,164
4.827,5.35,0.125,87
4.818,3.73,-0.025960462,88
4.708,4.04,-0.019155056,32
4.539,4.84,-0.076889241,61
