"Homo.L.arginine","Nos1","score","Acinetobacter_calcoaceticus"
4.436,0.01,0.652212468,119
4.444,0.03,0.455524872,11
4.026,0.03,0.587710074,148
3.367,0.04,0.343870362,79
3.706,0.01,0.617525208,137
3.318,0.01,0.468545045,21
3.813,0.03,0.32572039,265
4.98,0.01,0.151202718,425
5.185,0.41,0.169667915,106
4.905,0.02,0.081781953,733
4.3,0.02,0.108191038,579
4.387,0.01,0.155241935,3505
4.684,0.03,0.027210794,255
3.559,0,0.228074532,214
4.827,0.01,0.125,60
4.818,0.03,-0.025960462,81
4.708,3.86,-0.019155056,1444
4.539,0.01,-0.076889241,193
